"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Alexei Abrikosov","1928-06-25","2017-03-29","USSR (now Russia)","RU",NULL,NULL,"male",2003,"Physics","""for pioneering contributions to the theory of superconductors and superfluids""","Argonne National Laboratory","Argonne IL","USA",75,"Argonne National Laboratory"
"Yves Chauvin","1930-10-10","2015-01-27","Belgium","BE","France","FR","male",2005,"Chemistry","""for the development of the metathesis method in organic synthesis""","Institut Français du Pétrole","Rueil-Malmaison","France",75,"Institut Français du Pétrole"
"Robert J. Aumann","1930-06-08",NULL,"Germany","DE",NULL,NULL,"male",2005,"Economics","""for having enhanced our understanding of conflict and cooperation through game-theory analysis""","University of Jerusalem Center for RationalityHebrew","Jerusalem","Israel",75,"University of Jerusalem Center for RationalityHebrew"
"Abdulrazak Gurnah","1948-12-20",NULL,NULL,NULL,NULL,NULL,"male",2021,"Literature","""for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents""",NULL,NULL,NULL,73,NULL
"Albert Lutuli","1898-01-01","1967-07-21","Southern Rhodesia (now Zimbabwe)","ZW","South Africa","ZA","male",1960,"Peace","""for his non-violent struggle against apartheid""",NULL,NULL,NULL,62,NULL
"Morten Meldal","1954-01-01",NULL,"Denmark","DK",NULL,NULL,"male",2022,"Chemistry","""for the development of click chemistry and bioorthogonal chemistry""","University of Copenhagen","Copenhagen","Denmark",68,"University of Copenhagen"
"Nadia Murad","1993-03-10",NULL,"Iraq","IQ",NULL,NULL,"female",2018,"Peace","""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",NULL,NULL,NULL,25,NULL
"Venkatraman Ramakrishnan","1952-04-01",NULL,"India","IN",NULL,NULL,"male",2009,"Chemistry","""for studies of the structure and function of the ribosome""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",57,"MRC Laboratory of Molecular Biology"
"Ardem Patapoutian","1967-08-02",NULL,"Lebanon","LB",NULL,NULL,"male",2021,"Medicine","""for their discoveries of receptors for temperature and touch""","Scripps Research","La Jolla CA","USA",54,"Scripps Research"
"Saul Perlmutter","1959-09-02",NULL,"USA","US",NULL,NULL,"male",2011,"Physics","""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""","Lawrence Berkeley National Laboratory","Berkeley CA","USA",52,"Lawrence Berkeley National Laboratory"
"Klaus von Klitzing","1943-06-28",NULL,"German-occupied Poland (now Poland)","PL",NULL,NULL,"male",1985,"Physics","""for the discovery of the quantized Hall effect""","Max-Planck-Institut für Festkörperforschung","Stuttgart","Germany",42,"Max Planck Society"
"Erwin Neher","1944-03-20",NULL,"Germany","DE",NULL,NULL,"male",1991,"Medicine","""for their discoveries concerning the function of single ion channels in cells""","Max-Planck-Institut für Biophysikalische Chemie","Göttingen","Germany",47,"Max Planck Society"
"Theodor W. Hänsch","1941-10-30",NULL,"Germany","DE",NULL,NULL,"male",2005,"Physics","""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""","Max-Planck-Institut für Quantenoptik","Garching","Germany",64,"Max Planck Society"
"Stefan W. Hell","1962-12-23",NULL,"Romania","RO",NULL,NULL,"male",2014,"Chemistry","""for the development of super-resolved fluorescence microscopy""","Max Planck Institute for Biophysical Chemistry","Göttingen","Germany",52,"Max Planck Society"
"Paul J. Crutzen","1933-12-03","2021-01-28","the Netherlands","NL","Germany","DE","male",1995,"Chemistry","""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""","Max-Planck-Institut für Chemie","Mainz","Germany",62,"Max Planck Society"
"Emmanuelle Charpentier","1968-12-11",NULL,"France","FR",NULL,NULL,"female",2020,"Chemistry","""for the development of a method for genome editing""","Max Planck Unit for the Science of Pathogens","Berlin","Germany",52,"Max Planck Society"
"Svante Pääbo","1955-04-20",NULL,"Sweden","SE",NULL,NULL,"male",2022,"Medicine","""for his discoveries concerning the genomes of extinct hominins and human evolution""","Max Planck Institute for Evolutionary Anthropology","Leipzig","Germany",67,"Max Planck Society"
"Feodor Lynen","1911-04-06","1979-08-06","Germany","DE","Germany","DE","male",1964,"Medicine","""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""","Max-Planck-Institut für Zellchemie","Munich","Germany",53,"Max Planck Society"
"Paul M. Romer","1955-01-01",NULL,"USA","US",NULL,NULL,"male",2018,"Economics","""for integrating technological innovations into long-run macroeconomic analysis""","NYU Stern School of Business","New York NY","USA",63,"New York University"
"Hartmut Michel","1948-07-18",NULL,"West Germany (now Germany)","DE",NULL,NULL,"male",1988,"Chemistry","""for the determination of the three-dimensional structure of a photosynthetic reaction centre""","Max-Planck-Institut für Biophysik","Frankfurt-on-the-Main","Germany",40,"Max Planck Society"
"William Lipscomb","1919-12-09","2011-04-14","USA","US","USA","US","male",1976,"Chemistry","""for his studies on the structure of boranes illuminating problems of chemical bonding""","Harvard University","Cambridge MA","USA",57,"Harvard University"
"Steven Weinberg","1933-05-03","2021-07-23","USA","US","USA","US","male",1979,"Physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""","Harvard University","Cambridge MA","USA",46,"Harvard University"
"James Watson","1928-04-06",NULL,"USA","US",NULL,NULL,"male",1962,"Medicine","""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""","Harvard University","Cambridge MA","USA",34,"Harvard University"
"Simon Kuznets","1901-04-30","1985-07-08","Russian Empire (now Belarus)","BY","USA","US","male",1971,"Economics","""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""","Harvard University","Cambridge MA","USA",70,"Harvard University"
