"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Wilhelm Wien","1864-01-13","1928-08-30","Prussia (now Russia)","RU","Germany","DE","male",1911,"Physics","""for his discoveries regarding the laws governing the radiation of heat""","Würzburg University","Würzburg","Germany",47,"Würzburg University"
"Max Born","1882-12-11","1970-01-05","Germany (now Poland)","PL","West Germany (now Germany)","DE","male",1954,"Physics","""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""","Edinburgh University","Edinburgh","United Kingdom",72,"Edinburgh University"
"Eugene Wigner","1902-11-17","1995-01-01","Austria-Hungary (now Hungary)","HU","USA","US","male",1963,"Physics","""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""","Princeton University","Princeton NJ","USA",61,"Princeton University"
"Sir Nevill F. Mott","1905-09-30","1996-08-08","United Kingdom","GB","United Kingdom","GB","male",1977,"Physics","""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","University of Cambridge","Cambridge","United Kingdom",72,"University of Cambridge"
"Pierre-Gilles de Gennes","1932-10-24","2007-05-18","France","FR","France","FR","male",1991,"Physics","""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""","Collège de France","Paris","France",59,"Collège de France"
"Wendell M. Stanley","1904-08-16","1971-06-15","USA","US","Spain","ES","male",1946,"Chemistry","""for their preparation of enzymes and virus proteins in a pure form""","Rockefeller Institute for Medical Research","Princeton NJ","USA",42,"Rockefeller Institute for Medical Research"
"Archer J.P. Martin","1910-03-01","2002-07-28","United Kingdom","GB","United Kingdom","GB","male",1952,"Chemistry","""for their invention of partition chromatography""","National Institute for Medical Research","London","United Kingdom",42,"National Institute for Medical Research"
"Klaus Hasselmann","1931-10-25",NULL,"Germany","DE",NULL,NULL,"male",2021,"Physics","""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""","Max Planck Institute for Meteorology","Hamburg","Germany",90,"Max Planck Society"
"Mario J. Molina","1943-03-19","2020-10-07","Mexico","MX","Mexico","MX","male",1995,"Chemistry","""for their work in atmospheric chemistry particularly concerning the formation and decomposition of ozone""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",52,"Massachusetts Institute of Technology (MIT)"
"Sir Harold Kroto","1939-10-07","2016-04-30","United Kingdom","GB","United Kingdom","GB","male",1996,"Chemistry","""for their discovery of fullerenes""","University of Sussex","Brighton","United Kingdom",57,"University of Sussex"
"Edgar Adrian","1889-11-30","1977-08-08","United Kingdom","GB","United Kingdom","GB","male",1932,"Medicine","""for their discoveries regarding the functions of neurons""","University of Cambridge","Cambridge","United Kingdom",43,"University of Cambridge"
"Alfred Fried","1864-11-11","1921-05-04","Austria","AT","Austria","AT","male",1911,"Peace","""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",NULL,NULL,NULL,47,NULL
"Fridtjof Nansen","1861-10-10","1930-05-13","Norway","NO","Norway","NO","male",1922,"Peace","""for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees""",NULL,NULL,NULL,61,NULL
"Oscar Arias Sánchez","1940-09-13",NULL,"Costa Rica","CR",NULL,NULL,"male",1987,"Peace","""for his work for lasting peace in Central America""",NULL,NULL,NULL,47,NULL
"Paul Heyse","1830-03-15","1914-04-02","Prussia (now Germany)","DE","Germany","DE","male",1910,"Literature","""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",NULL,NULL,NULL,80,NULL
"Rabindranath Tagore","1861-05-07","1941-08-07","India","IN","India","IN","male",1913,"Literature","""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",NULL,NULL,NULL,52,NULL
"Henrik Pontoppidan","1857-07-24","1943-08-21","Denmark","DK","Denmark","DK","male",1917,"Literature","""for his authentic descriptions of present-day life in Denmark""",NULL,NULL,NULL,60,NULL
"Knut Hamsun","1859-08-04","1952-02-19","Norway","NO","Norway","NO","male",1920,"Literature","""for his monumental work <I>Growth of the Soil</I>""",NULL,NULL,NULL,61,NULL
"Elias Canetti","1905-07-25","1994-08-14","Bulgaria","BG","Switzerland","CH","male",1981,"Literature","""for writings marked by a broad outlook a wealth of ideas and artistic power""",NULL,NULL,NULL,76,NULL
"Naguib Mahfouz","1911-12-11","2006-08-30","Egypt","EG","Egypt","EG","male",1988,"Literature","""who through works rich in nuance - now clear-sightedly realistic now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",NULL,NULL,NULL,77,NULL
"Milton Friedman","1912-07-31","2006-11-16","USA","US","USA","US","male",1976,"Economics","""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""","University of Chicago","Chicago IL","USA",64,"University of Chicago"
"César Milstein","1927-10-08","2002-03-24","Argentina","AR","United Kingdom","GB","male",1984,"Medicine","""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",57,"MRC Laboratory of Molecular Biology"
"Barry Sharpless","1941-04-28",NULL,"USA","US",NULL,NULL,"male",2001,"Chemistry","""for his work on chirally catalysed oxidation reactions""","The Scripps Research Institute","La Jolla CA","USA",60,"The Scripps Research Institute"
"Vitaly L. Ginzburg","1916-10-04","2009-11-08","Russia","RU",NULL,NULL,"male",2003,"Physics","""for pioneering contributions to the theory of superconductors and superfluids""","P.N. Lebedev Physical Institute","Moscow","Russia",87,"P.N. Lebedev Physical Institute"
"Grameen Bank",NULL,NULL,NULL,NULL,NULL,NULL,"org",2006,"Peace","""for their efforts to create economic and social development from below""",NULL,NULL,NULL,NULL,NULL
"Henrik Dam","1895-02-21","1976-04-17","Denmark","DK","Denmark","DK","male",1943,"Medicine","""for his discovery of vitamin K""","Polytechnic Institute","Copenhagen","Denmark",48,"Polytechnic Institute"
"Gerty Cori","1896-08-15","1957-10-26","Austria-Hungary (now Czech Republic)","CZ","USA","US","female",1947,"Medicine","""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis MO","USA",51,"Washington University"
"Daniel Bovet","1907-03-23","1992-04-08","Switzerland","CH","Italy","IT","male",1957,"Medicine","""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""","Istituto Superiore di Sanità (Chief Institute of Public Health)","Rome","Italy",50,"Istituto Superiore di Sanità (Chief Institute of Public Health)"
"Paul A.M. Dirac","1902-08-08","1984-10-20","United Kingdom","GB","USA","US","male",1933,"Physics","""for the discovery of new productive forms of atomic theory""","University of Cambridge","Cambridge","United Kingdom",31,"University of Cambridge"
"William B. Shockley","1910-02-13","1989-08-12","United Kingdom","GB","USA","US","male",1956,"Physics","""for their researches on semiconductors and their discovery of the transistor effect""","Semiconductor Laboratory of Beckman Instruments Inc.","Mountain View CA","USA",46,"Semiconductor Laboratory of Beckman Instruments Inc."
"Brian D. Josephson","1940-01-04",NULL,"United Kingdom","GB",NULL,NULL,"male",1973,"Physics","""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""","University of Cambridge","Cambridge","United Kingdom",33,"University of Cambridge"
"John E. Sulston","1942-03-27","2018-03-06","United Kingdom","GB","United Kingdom","GB","male",2002,"Medicine","""for their discoveries concerning genetic regulation of organ development and programmed cell death'""","The Wellcome Trust Sanger Institute","Cambridge","United Kingdom",60,"The Wellcome Trust Sanger Institute"
"Linda B. Buck","1947-01-29",NULL,"USA","US",NULL,NULL,"female",2004,"Medicine","""for their discoveries of odorant receptors and the organization of the olfactory system""","Fred Hutchinson Cancer Research Center","Seattle WA","USA",57,"Fred Hutchinson Cancer Research Center"
"Elihu Root","1845-02-15","1937-02-07","USA","US","USA","US","male",1912,"Peace","""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",NULL,NULL,NULL,67,NULL
"John Boyd Orr","1880-09-23","1971-06-25","Scotland","GB","Scotland","GB","male",1949,"Peace","""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",NULL,NULL,NULL,69,NULL
"Anwar al-Sadat","1918-12-25","1981-10-06","Egypt","EG","Egypt","EG","male",1978,"Peace","""for jointly having negotiated peace between Egypt and Israel in 1978""",NULL,NULL,NULL,60,NULL
"Adolfo Pérez Esquivel","1931-11-26",NULL,"Argentina","AR",NULL,NULL,"male",1980,"Peace","""for being a source of inspiration to repressed people especially in Latin America""",NULL,NULL,NULL,49,NULL
"Joseph L. Goldstein","1940-04-18",NULL,"USA","US",NULL,NULL,"male",1985,"Medicine","""for their discoveries concerning the regulation of cholesterol metabolism""","University of Texas Southwestern Medical Center at Dallas","Dallas TX","USA",45,"University of Texas"
"United Nations Peacekeeping Forces",NULL,NULL,NULL,NULL,NULL,NULL,"org",1988,"Peace","""for preventing armed clashes and creating conditions for negotiations""",NULL,NULL,NULL,NULL,NULL
"Luigi Pirandello","1867-06-28","1936-12-10","Italy","IT","Italy","IT","male",1934,"Literature","""for his bold and ingenious revival of dramatic and scenic art""",NULL,NULL,NULL,67,NULL
"Roger Martin du Gard","1881-03-23","1958-08-22","France","FR","France","FR","male",1937,"Literature","""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",NULL,NULL,NULL,56,NULL
"Pär Lagerkvist","1891-05-23","1974-07-11","Sweden","SE","Sweden","SE","male",1951,"Literature","""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",NULL,NULL,NULL,60,NULL
"Mikhail Sholokhov","1905-05-24","1984-02-21","Russia","RU","USSR (now Russia)","RU","male",1965,"Literature","""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",NULL,NULL,NULL,60,NULL
"Odysseus Elytis","1911-11-02","1996-03-18","Crete (now Greece)","GR","Greece","GR","male",1979,"Literature","""for his poetry which against the background of Greek tradition depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",NULL,NULL,NULL,68,NULL
"Douglass C. North","1920-11-05","2015-11-23","USA","US","USA","US","male",1993,"Economics","""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""","Washington University","St. Louis MO","USA",73,"Washington University"
"Jean-Pierre Sauvage","1944-10-21",NULL,"France","FR",NULL,NULL,"male",2016,"Chemistry","""for the design and synthesis of molecular machines""","University of Strasbourg","Strasbourg","France",72,"University of Strasbourg"
"Rainer Weiss","1932-09-29",NULL,"Germany","DE",NULL,NULL,"male",2017,"Physics","""for decisive contributions to the LIGO detector and the observation of gravitational waves""","LIGO/VIRGO Collaboration",NULL,NULL,85,"LIGO/VIRGO Collaboration"
"Richard L.M. Synge","1914-10-28","1994-08-18","United Kingdom","GB","United Kingdom","GB","male",1952,"Chemistry","""for their invention of partition chromatography""","Rowett Research Institute","Bucksburn (Scotland)","United Kingdom",38,"Rowett Research Institute"
"Vladimir Prelog","1906-07-23","1998-01-07","Austria-Hungary (now Bosnia and Herzegovina)","BA","Switzerland","CH","male",1975,"Chemistry","""for his research into the stereochemistry of organic molecules and reactions""","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland",69,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)"
"Peter Mitchell","1920-09-29","1992-04-10","United Kingdom","GB","United Kingdom","GB","male",1978,"Chemistry","""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""","Glynn Research Laboratories","Bodmin","United Kingdom",58,"Glynn Research Laboratories"
"Jerome Karle","1918-06-18","2013-06-06","USA","US","USA","US","male",1985,"Chemistry","""for their outstanding achievements in the development of direct methods for the determination of crystal structures""","US Naval Research Laboratory","Washington D.C.","USA",67,"US Naval Research Laboratory"
"John C. Polanyi","1929-01-23",NULL,"Germany","DE",NULL,NULL,"male",1986,"Chemistry","""for their contributions concerning the dynamics of chemical elementary processes""","University of Toronto","Toronto","Canada",57,"University of Toronto"
"Rudolph A. Marcus","1923-07-21",NULL,"Canada","CA",NULL,NULL,"male",1992,"Chemistry","""for his contributions to the theory of electron transfer reactions in chemical systems""","California Institute of Technology (Caltech)","Pasadena CA","USA",69,"California Institute of Technology (Caltech)"
"James E. Meade","1907-06-23","1995-12-22","United Kingdom","GB","United Kingdom","GB","male",1977,"Economics","""for their pathbreaking contribution to the theory of international trade and international capital movements""","University of Cambridge","Cambridge","United Kingdom",70,"University of Cambridge"
"Subramanyan Chandrasekhar","1910-10-19","1995-08-21","India (now Pakistan)","PK","USA","US","male",1983,"Physics","""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""","University of Chicago","Chicago IL","USA",73,"University of Chicago"
"Jack Steinberger","1921-05-25","2020-12-12","Germany","DE","Switzerland","CH","male",1988,"Physics","""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","CERN","Geneva","Switzerland",67,"CERN"
"Gerardus 't Hooft","1946-07-05",NULL,"the Netherlands","NL",NULL,NULL,"male",1999,"Physics","""for elucidating the quantum structure of electroweak interactions in physics""","Utrecht University","Utrecht","the Netherlands",53,"Utrecht University"
"Martinus J.G. Veltman","1931-06-27","2021-01-04","the Netherlands","NL","the Netherlands","NL","male",1999,"Physics","""for elucidating the quantum structure of electroweak interactions in physics""",NULL,NULL,NULL,68,NULL
"Sir William Ramsay","1852-10-02","1916-07-23","Scotland","GB","United Kingdom","GB","male",1904,"Chemistry","""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""","University College","London","United Kingdom",52,"University College"
"Peter Debye","1884-03-24","1966-11-02","the Netherlands","NL","USA","US","male",1936,"Chemistry","""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""","Berlin University","Berlin","Germany",52,"Berlin University"
"Kurt Alder","1902-07-10","1958-06-20","Prussia (now Poland)","PL","West Germany (now Germany)","DE","male",1950,"Chemistry","""for their discovery and development of the diene synthesis""","Cologne University","Cologne","Germany",48,"Cologne University"
"Niels Bohr","1885-10-07","1962-11-18","Denmark","DK","Denmark","DK","male",1922,"Physics","""for his services in the investigation of the structure of atoms and of the radiation emanating from them""","Copenhagen University","Copenhagen","Denmark",37,"Copenhagen University"
"Erwin Schrödinger","1887-08-12","1961-01-04","Austria","AT","Austria","AT","male",1933,"Physics","""for the discovery of new productive forms of atomic theory""","Berlin University","Berlin","Germany",46,"Berlin University"
"Sheldon Glashow","1932-12-05",NULL,"USA","US",NULL,NULL,"male",1979,"Physics","""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""","Harvard University Lyman Laboratory","Cambridge MA","USA",47,"Harvard University"
"Steven Chu","1948-02-28",NULL,"USA","US",NULL,NULL,"male",1997,"Physics","""for development of methods to cool and trap atoms with laser light""","Stanford University","Stanford CA","USA",49,"Stanford University"
"Robert Hofstadter","1915-02-05","1990-11-17","USA","US","USA","US","male",1961,"Physics","""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""","Stanford University","Stanford CA","USA",46,"Stanford University"
"Maria Goeppert Mayer","1906-06-28","1972-02-20","Germany (now Poland)","PL","USA","US","female",1963,"Physics","""for their discoveries concerning nuclear shell structure""","University of California","San Diego CA","USA",57,"University of California"
"Nicolay G. Basov","1922-12-14","2001-07-01","USSR (now Russia)","RU","Russia","RU","male",1964,"Physics","""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","P.N. Lebedev Physical Institute","Moscow","USSR (now Russia)",42,"P.N. Lebedev Physical Institute"
"Willard F. Libby","1908-12-17","1980-09-08","USA","US","USA","US","male",1960,"Chemistry","""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""","University of California","Los Angeles CA","USA",52,"University of California"
"John Pople","1925-10-31","2004-03-15","United Kingdom","GB","USA","US","male",1998,"Chemistry","""for his development of computational methods in quantum chemistry""","Northwestern University","Evanston IL","USA",73,"Northwestern University"
"Heinrich Rohrer","1933-06-06","2013-05-16","Switzerland","CH","Switzerland","CH","male",1986,"Physics","""for their design of the scanning tunneling microscope""","IBM Zurich Research Laboratory","Rüschlikon","Switzerland",53,"IBM Zurich Research Laboratory"
"John H. Northrop","1891-07-05","1987-05-27","USA","US","USA","US","male",1946,"Chemistry","""for their preparation of enzymes and virus proteins in a pure form""","Rockefeller Institute for Medical Research","Princeton NJ","USA",55,"Rockefeller Institute for Medical Research"
"Henri La Fontaine","1854-04-22","1943-05-14","Belgium","BE","Belgium","BE","male",1913,"Peace","""for his unparalleled contribution to the organization of peaceful internationalism""",NULL,NULL,NULL,59,NULL
"Sir Austen Chamberlain","1863-10-16","1937-03-16","United Kingdom","GB","United Kingdom","GB","male",1925,"Peace","""for his crucial role in bringing about the Locarno Treaty""",NULL,NULL,NULL,62,NULL
"Arthur Henderson","1863-09-13","1935-10-20","Scotland","GB","United Kingdom","GB","male",1934,"Peace","""for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34""",NULL,NULL,NULL,71,NULL
"United Nations Children's Fund",NULL,NULL,NULL,NULL,NULL,NULL,"org",1965,"Peace","""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",NULL,NULL,NULL,NULL,NULL
"Betty Williams","1943-05-22","2020-03-17","Northern Ireland","GB","Northern Ireland","GB","female",1976,"Peace","""for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland""",NULL,NULL,NULL,33,NULL
"Yitzhak Rabin","1922-03-01","1995-11-04","British Mandate of Palestine (now Israel)","IL","Israel","IL","male",1994,"Peace","""for their efforts to create peace in the Middle East""",NULL,NULL,NULL,72,NULL
"Miguel Angel Asturias","1899-10-19","1974-06-09","Guatemala","GT","Spain","ES","male",1967,"Literature","""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",NULL,NULL,NULL,68,NULL
"John R. Hicks","1904-04-08","1989-05-20","United Kingdom","GB","United Kingdom","GB","male",1972,"Economics","""for their pioneering contributions to general economic equilibrium theory and welfare theory""","All Souls College","Oxford","United Kingdom",68,"All Souls College"
"Michael Rosbash","1944-03-07",NULL,"USA","US",NULL,NULL,"male",2017,"Medicine","""for their discoveries of molecular mechanisms controlling the circadian rhythm""","Brandeis University","Waltham MA","USA",73,"Brandeis University"
"Peter Ratcliffe","1954-05-14",NULL,"United Kingdom","GB",NULL,NULL,"male",2019,"Medicine","""for their discoveries of how cells sense and adapt to oxygen availability""","University of Oxford","Oxford","United Kingdom",65,"University of Oxford"
"Roger Penrose","1931-08-08",NULL,"United Kingdom","GB",NULL,NULL,"male",2020,"Physics","""for the discovery that black hole formation is a robust prediction of the general theory of relativity""","University of Oxford","Oxford","United Kingdom",89,"University of Oxford"
"Alain Aspect","1947-06-15",NULL,"France","FR",NULL,NULL,"male",2022,"Physics","""for experiments with entangled photons establishing the violation of Bell inequalities and  pioneering quantum information science""","Institut d’Optique Graduate School – Université Paris-Saclay","Paris","France",75,"Institut d’Optique Graduate School – Université Paris-Saclay"
"Daniel Nathans","1928-10-30","1999-11-16","USA","US","USA","US","male",1978,"Medicine","""for the discovery of restriction enzymes and their application to problems of molecular genetics""","Johns Hopkins University School of Medicine","Baltimore MD","USA",50,"Johns Hopkins University School of Medicine"
"Barry J. Marshall","1951-09-30",NULL,"Australia","AU",NULL,NULL,"male",2005,"Medicine","""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""","NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre","Nedlands","Australia",54,"NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre"
"George F. Smoot","1945-02-20",NULL,"USA","US",NULL,NULL,"male",2006,"Physics","""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""","University of California","Berkeley CA","USA",61,"University of California"
"Adam G. Riess","1969-12-16",NULL,"USA","US",NULL,NULL,"male",2011,"Physics","""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""","Johns Hopkins University","Baltimore MD","USA",42,"Johns Hopkins University"
"Alice Munro","1931-07-10",NULL,"Canada","CA",NULL,NULL,"female",2013,"Literature","""master of the contemporary short story""",NULL,NULL,NULL,82,NULL
"Isamu Akasaki","1929-01-30","2021-04-01","Japan","JP","Japan","JP","male",2014,"Physics","""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""","Meijo University","Nagoya","Japan",85,"Meijo University"
"Andrew V. Schally","1926-11-30",NULL,"Poland (now Lithuania)","LT",NULL,NULL,"male",1977,"Medicine","""for their discoveries concerning the peptide hormone production of the brain""","Veterans Administration Hospital","New Orleans LA","USA",51,"Veterans Administration Hospital"
"Edmond H. Fischer","1920-04-06","2021-08-27","China","CN","USA","US","male",1992,"Medicine","""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""","University of Washington","Seattle WA","USA",72,"University of Washington"
"James Rainwater","1917-12-09","1986-03-31","USA","US","USA","US","male",1975,"Physics","""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","Columbia University","New York NY","USA",58,"Columbia University"
"Reinhard Genzel","1952-03-24",NULL,"Germany","DE",NULL,NULL,"male",2020,"Physics","""for the discovery of a supermassive compact object at the centre of our galaxy""","Max Planck Institute for Extraterrestrial Physics","Garching","Germany",68,"Max Planck Society"
"Ernst Ruska","1906-12-25","1988-05-27","Germany","DE","Germany","DE","male",1986,"Physics","""for his fundamental work in electron optics and for the design of the first electron microscope""","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Berlin","Germany",80,"Max Planck Society"
"Rolf M. Zinkernagel","1944-01-06",NULL,"Switzerland","CH",NULL,NULL,"male",1996,"Medicine","""for their discoveries concerning the specificity of the cell mediated immune defence""","University of Zurich Institute of Experimental Immunology","Zurich","Switzerland",52,"University of Zurich Institute of Experimental Immunology"
"Arthur Harden","1865-10-12","1940-06-17","United Kingdom","GB","United Kingdom","GB","male",1929,"Chemistry","""for their investigations on the fermentation of sugar and fermentative enzymes""","London University","London","United Kingdom",64,"London University"
"Bernard L. Feringa","1951-05-18",NULL,"the Netherlands","NL",NULL,NULL,"male",2016,"Chemistry","""for the design and synthesis of molecular machines""","University of Groningen","Groningen","the Netherlands",65,"University of Groningen"
"Donna Strickland","1959-05-27",NULL,"Canada","CA",NULL,NULL,"female",2018,"Physics","""for their method of generating high-intensity ultra-short optical pulses""","University of Waterloo","Waterloo","Canada",59,"University of Waterloo"
"Barack Obama","1961-08-04",NULL,"USA","US",NULL,NULL,"male",2009,"Peace","""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",NULL,NULL,NULL,48,NULL
"Shinya Yamanaka","1962-09-04",NULL,"Japan","JP",NULL,NULL,"male",2012,"Medicine","""for the discovery that mature cells can be reprogrammed to become pluripotent""","Kyoto University","Kyoto","Japan",50,"Kyoto University"
"May-Britt Moser","1963-01-04",NULL,"Norway","NO",NULL,NULL,"female",2014,"Medicine","""for their discoveries of cells that constitute a positioning system in the brain""","Norwegian University of Science and Technology (NTNU)","Trondheim","Norway",51,"Norwegian University of Science and Technology (NTNU)"
"Edvard I. Moser","1962-04-27",NULL,"Norway","NO",NULL,NULL,"male",2014,"Medicine","""for their discoveries of cells that constitute a positioning system in the brain""","Norwegian University of Science and Technology (NTNU)","Trondheim","Norway",52,"Norwegian University of Science and Technology (NTNU)"
"Memorial",NULL,NULL,NULL,NULL,NULL,NULL,"org",2022,"Peace","""The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.""",NULL,NULL,NULL,NULL,NULL
"Abhijit Banerjee","1961-02-21",NULL,"India","IN",NULL,NULL,"male",2019,"Economics","""for their experimental approach to alleviating global poverty""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",58,"Massachusetts Institute of Technology (MIT)"
"Ryoji Noyori","1938-09-03",NULL,"Japan","JP",NULL,NULL,"male",2001,"Chemistry","""for their work on chirally catalysed hydrogenation reactions""","Nagoya University","Nagoya","Japan",63,"Nagoya University"
"Raymond Davis Jr.","1914-10-14","2006-05-31","USA","US","USA","US","male",2002,"Physics","""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""","University of Pennsylvania","Philadelphia PA","USA",88,"University of Pennsylvania"
"John L. Hall","1934-08-21",NULL,"USA","US",NULL,NULL,"male",2005,"Physics","""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""","University of Colorado JILA","Boulder CO","USA",71,"University of Colorado JILA"
"Klas Pontus Arnoldson","1844-10-27","1916-02-20","Sweden","SE","Sweden","SE","male",1908,"Peace","""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",NULL,NULL,NULL,64,NULL
"Woodrow Wilson","1856-12-28","1924-02-03","USA","US","USA","US","male",1919,"Peace","""for his role as founder of the League of Nations""",NULL,NULL,NULL,63,NULL
"Rudyard Kipling","1865-12-30","1936-01-18","British India (now India)","IN","United Kingdom","GB","male",1907,"Literature","""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",NULL,NULL,NULL,42,NULL
"Eugene O'Neill","1888-10-16","1953-11-27","USA","US","USA","US","male",1936,"Literature","""for the power honesty and deep-felt emotions of his dramatic works which embody an original concept of tragedy""",NULL,NULL,NULL,48,NULL
"Bertrand Russell","1872-05-18","1970-02-02","United Kingdom","GB","United Kingdom","GB","male",1950,"Literature","""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",NULL,NULL,NULL,78,NULL
"Kenzaburo Oe","1935-01-31","2023-03-03","Japan","JP","Japan","JP","male",1994,"Literature","""who with poetic force creates an imagined world where life and myth condense to form a disconcerting picture of the human predicament today""",NULL,NULL,NULL,59,NULL
"Kim Dae-jung","1925-12-03","2009-08-18","Korea (now South Korea)","KR",NULL,NULL,"male",2000,"Peace","""for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular""",NULL,NULL,NULL,75,NULL
"Hermann Staudinger","1881-03-23","1965-09-08","Germany","DE","West Germany (now Germany)","DE","male",1953,"Chemistry","""for his discoveries in the field of macromolecular chemistry""","University of Freiburg","Breisgau","Germany",72,"University of Freiburg"
"Frederick Sanger","1918-08-13","2013-11-19","United Kingdom","GB","United Kingdom","GB","male",1958,"Chemistry","""for his work on the structure of proteins especially that of insulin""","University of Cambridge","Cambridge","United Kingdom",40,"University of Cambridge"
"Jean-Marie Lehn","1939-09-30",NULL,"France","FR",NULL,NULL,"male",1987,"Chemistry","""for their development and use of molecules with structure-specific interactions of high selectivity""","Université Louis Pasteur","Strasbourg","France",48,"Université Louis Pasteur"
"Michael Smith","1932-04-26","2000-10-04","United Kingdom","GB","Canada","CA","male",1993,"Chemistry","""for his fundamental contributions to the establishment of oligonucleotide-based site-directed mutagenesis and its development for protein studies""","University of British Columbia","Vancouver","Canada",61,"University of British Columbia"
"Adolf Butenandt","1903-03-24","1995-01-18","Germany","DE","Germany","DE","male",1939,"Chemistry","""for his work on sex hormones""","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie","Berlin-Dahlem","Germany",36,"Max Planck Society"
"Otto Hahn","1879-03-08","1968-07-28","Germany","DE","West Germany (now Germany)","DE","male",1944,"Chemistry","""for his discovery of the fission of heavy nuclei""","Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie","Berlin-Dahlem","Germany",65,"Max Planck Society"
